property;n;sum;min;max;Gini
http://www.wikidata.org/prop/direct/P417;1011;13753;1;1782;0.86249611
http://www.wikidata.org/prop/direct/P415;95;3504;1;485;0.821665465
http://www.wikidata.org/prop/direct/P414;149;11099;1;1785;0.887445571
http://www.wikidata.org/prop/direct/P413;307;347016;1;68145;0.926087479
http://www.wikidata.org/prop/direct/P412;90;32254;1;8889;0.928191508
http://www.wikidata.org/prop/direct/P411;38;11038;1;4723;0.888857631
http://www.wikidata.org/prop/direct/P410;1111;123062;1;15727;0.930109125
http://www.wikidata.org/prop/direct/P409;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P408;546;8456;1;4304;0.883219666
http://www.wikidata.org/prop/direct/P407;1172;12421505;1;9990055;0.997048477
http://www.wikidata.org/prop/direct/P406;832;842;1;2;0.011733738
http://www.wikidata.org/prop/direct/P405;163;429;1;60;0.518969783
http://www.wikidata.org/prop/direct/P404;55;32673;1;22370;0.966569561
http://www.wikidata.org/prop/direct/P403;22490;86408;1;1611;0.614042757
http://www.wikidata.org/prop/direct/P402;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P400;967;71403;1;14079;0.944653069
http://www.wikidata.org/prop/direct/P443;36000;41649;1;19;0.124386545
http://www.wikidata.org/prop/direct/P398;7880;7885;1;3;6.34E-04
http://www.wikidata.org/prop/direct/P399;3469;4375;1;7;0.180401038
http://www.wikidata.org/prop/direct/P396;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P395;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P393;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P382;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P381;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P380;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P377;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P376;83;9035;1;2071;0.882458445
http://www.wikidata.org/prop/direct/P375;218;6235;1;758;0.781357828
http://www.wikidata.org/prop/direct/P374;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P460;70389;211918;1;74;0.561091496
http://www.wikidata.org/prop/direct/P373;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P370;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P369;388;404;1;11;0.039233949
http://www.wikidata.org/prop/direct/P397;4989;11084;1;4070;0.527538499
http://www.wikidata.org/prop/direct/P364;533;300749;1;129191;0.968032177
http://www.wikidata.org/prop/direct/P366;8047;66141;1;7198;0.836946218
http://www.wikidata.org/prop/direct/P371;9997;20749;1;879;0.456812479
